Date,High,Low,Open,Close,Volume,Adj Close,Status,Middle,Height
2018-06-15,8995.0,8901.0,8995.0,8951.599609375,496572.0,8795.013671875,Decrease,8973.2998046875,43.400390625
2018-06-18,9050.400390625,8937.9501953125,8947.5,8973.4501953125,305144.0,8816.482421875,Increase,8960.47509765625,25.9501953125
2018-06-19,8984.7998046875,8820.0498046875,8970.0,8862.599609375,350407.0,8707.5712890625,Decrease,8916.2998046875,107.400390625
2018-06-20,8970.0,8863.0,8873.0,8948.2998046875,325981.0,8791.7724609375,Increase,8910.64990234375,75.2998046875
2018-06-21,8986.0,8852.9501953125,8978.0,8863.0498046875,313349.0,8708.013671875,Decrease,8920.52490234375,114.9501953125
2018-06-22,8887.0,8810.0,8865.0,8874.900390625,319027.0,8719.65625,Increase,8869.9501953125,9.900390625
2018-06-25,8869.0,8780.0,8869.0,8793.0,254954.0,8639.189453125,Decrease,8831.0,76.0
2018-06-26,8985.349609375,8750.0,8793.0,8931.349609375,387769.0,8775.1181640625,Increase,8862.1748046875,138.349609375
2018-06-27,9012.0,8873.0,8935.9501953125,8898.2998046875,501622.0,8742.646484375,Decrease,8917.125,37.650390625
2018-06-28,8894.0498046875,8735.0498046875,8892.0,8771.2998046875,376404.0,8617.869140625,Decrease,8831.64990234375,120.7001953125
2018-06-29,8900.0,8750.2998046875,8750.2998046875,8825.599609375,458807.0,8671.21875,Increase,8787.94970703125,75.2998046875
2018-07-02,8935.0,8800.0498046875,8878.0,8821.0498046875,298529.0,8666.748046875,Decrease,8849.52490234375,56.9501953125
2018-07-03,8995.0,8750.0,8825.0,8975.150390625,375718.0,8818.1533203125,Increase,8900.0751953125,150.150390625
2018-07-04,9249.25,8952.5,9014.0,9220.7998046875,656141.0,9059.505859375,Increase,9117.39990234375,206.7998046875
2018-07-05,9395.0,9225.75,9228.0,9347.0498046875,887919.0,9183.546875,Increase,9287.52490234375,119.0498046875
2018-07-06,9413.9501953125,9260.0,9315.0,9317.5,508241.0,9154.513671875,Increase,9316.25,2.5
2018-07-09,9419.849609375,9350.0,9395.0,9374.900390625,331872.0,9210.91015625,Decrease,9384.9501953125,20.099609375
2018-07-10,9545.900390625,9380.0,9380.0,9531.0,485745.0,9364.279296875,Increase,9455.5,151.0
2018-07-11,9529.349609375,9361.0,9529.0,9384.7001953125,328446.0,9220.5390625,Decrease,9456.85009765625,144.2998046875
2018-07-12,9508.0,9325.25,9448.0,9347.0,336960.0,9183.4990234375,Decrease,9397.5,101.0
2018-07-13,9495.0,9362.25,9408.0,9431.0498046875,511150.0,9266.078125,Increase,9419.52490234375,23.0498046875
2018-07-16,9498.900390625,9355.0,9429.0,9385.2998046875,216426.0,9221.1279296875,Decrease,9407.14990234375,43.7001953125
2018-07-17,9479.7001953125,9347.0,9351.150390625,9445.400390625,457123.0,9280.177734375,Increase,9398.275390625,94.25
2018-07-18,9534.0,9296.900390625,9482.2998046875,9366.7998046875,430624.0,9202.9521484375,Decrease,9424.5498046875,115.5
2018-07-19,9434.0,9350.0,9408.0,9389.099609375,199983.0,9224.861328125,Decrease,9398.5498046875,18.900390625
2018-07-20,9464.0,9335.0,9392.0,9398.9501953125,272916.0,9234.5400390625,Increase,9395.47509765625,6.9501953125
2018-07-23,9750.0,9372.0,9448.0,9701.0,607813.0,9531.3056640625,Increase,9574.5,253.0
2018-07-24,9929.0,9725.0,9778.0,9832.4501953125,749626.0,9660.45703125,Increase,9805.22509765625,54.4501953125
2018-07-25,9875.849609375,9701.0,9853.0,9758.9501953125,384750.0,9588.2421875,Decrease,9805.97509765625,94.0498046875
2018-07-26,9831.7001953125,9361.0,9819.7998046875,9396.25,1261317.0,9231.88671875,Decrease,9608.02490234375,423.5498046875
2018-07-27,9442.2001953125,9290.0,9402.0,9310.400390625,672141.0,9147.5390625,Decrease,9356.2001953125,91.599609375
2018-07-30,9404.5,9233.0,9320.0,9381.900390625,539464.0,9217.7880859375,Increase,9350.9501953125,61.900390625
2018-07-31,9548.849609375,9355.0,9400.0,9520.5498046875,426388.0,9354.0126953125,Increase,9460.27490234375,120.5498046875
2018-08-01,9587.75,9300.0,9535.0,9341.599609375,700719.0,9178.1923828125,Decrease,9438.2998046875,193.400390625
2018-08-02,9327.0,9120.0,9327.0,9142.400390625,875157.0,8982.4775390625,Decrease,9234.7001953125,184.599609375
2018-08-03,9230.0,9150.0,9150.0,9187.0,470958.0,9026.296875,Increase,9168.5,37.0
2018-08-06,9300.0,9200.0,9247.5,9286.400390625,237693.0,9123.958984375,Increase,9266.9501953125,38.900390625
2018-08-07,9420.0,9271.0,9316.0,9411.5,381993.0,9246.8701171875,Increase,9363.75,95.5
2018-08-08,9449.0,9183.0498046875,9449.0,9207.400390625,638498.0,9046.3408203125,Decrease,9328.2001953125,241.599609375
2018-08-09,9239.0,9060.0,9239.0,9146.0498046875,651728.0,8986.0634765625,Decrease,9192.52490234375,92.9501953125
2018-08-10,9210.0,9105.0,9150.0,9148.25,427827.0,8988.224609375,Decrease,9149.125,1.75
2018-08-13,9185.0,9012.2001953125,9119.4501953125,9080.849609375,348201.0,8922.00390625,Decrease,9100.14990234375,38.6005859375
2018-08-14,9158.7998046875,9046.25,9079.0,9132.599609375,344056.0,9052.599609375,Increase,9105.7998046875,53.599609375
2018-08-16,9235.9501953125,9085.0,9124.0,9200.5498046875,465479.0,9200.5498046875,Increase,9162.27490234375,76.5498046875
2018-08-17,9286.5,9130.0,9243.0,9152.099609375,477538.0,9152.099609375,Decrease,9197.5498046875,90.900390625
2018-08-20,9217.7998046875,9062.0,9170.7001953125,9074.349609375,449317.0,9074.349609375,Decrease,9122.52490234375,96.3505859375
2018-08-21,9130.0,9050.400390625,9110.0,9113.2998046875,380824.0,9113.2998046875,Increase,9111.64990234375,3.2998046875
2018-08-23,9256.0,9100.099609375,9145.0,9223.2998046875,751705.0,9223.2998046875,Increase,9184.14990234375,78.2998046875
2018-08-24,9279.900390625,9142.099609375,9240.0,9163.7998046875,401110.0,9163.7998046875,Decrease,9201.89990234375,76.2001953125
2018-08-27,9274.0,9200.0,9209.0,9245.25,326945.0,9245.25,Increase,9227.125,36.25
2018-08-28,9446.5,9215.0,9277.5498046875,9427.9501953125,684054.0,9427.9501953125,Increase,9352.75,150.400390625
2018-08-29,9468.2998046875,9339.650390625,9421.0,9368.099609375,433440.0,9368.099609375,Decrease,9394.5498046875,52.900390625
2018-08-30,9370.0,9182.650390625,9370.0,9205.7998046875,674292.0,9205.7998046875,Decrease,9287.89990234375,164.2001953125
2018-08-31,9255.0,9080.2998046875,9208.0,9096.400390625,634522.0,9096.400390625,Decrease,9152.2001953125,111.599609375
2018-09-03,9118.9501953125,8875.0,9100.0,8902.150390625,992161.0,8902.150390625,Decrease,9001.0751953125,197.849609375
2018-09-04,8999.0,8835.4501953125,8912.0,8868.5,530967.0,8868.5,Decrease,8890.25,43.5
2018-09-05,8950.0,8790.599609375,8871.0,8896.099609375,491163.0,8896.099609375,Increase,8883.5498046875,25.099609375
2018-09-06,8967.7001953125,8741.0,8967.7001953125,8759.849609375,687535.0,8759.849609375,Decrease,8863.77490234375,207.8505859375
2018-09-07,8789.0,8634.25,8775.0,8719.2001953125,636918.0,8719.2001953125,Decrease,8747.10009765625,55.7998046875
2018-09-10,8750.0,8625.0,8700.0,8639.400390625,577299.0,8639.400390625,Decrease,8669.7001953125,60.599609375
2018-09-11,8699.900390625,8479.599609375,8668.0,8517.0498046875,552622.0,8517.0498046875,Decrease,8592.52490234375,150.9501953125
2018-09-12,8539.0,8401.0,8539.0,8493.9501953125,634678.0,8493.9501953125,Decrease,8516.47509765625,45.0498046875
2018-09-14,8700.0,8580.349609375,8593.0,8626.7001953125,754169.0,8626.7001953125,Increase,8609.85009765625,33.7001953125
2018-09-17,8659.7001953125,8517.0,8587.0,8537.7998046875,422191.0,8537.7998046875,Decrease,8562.39990234375,49.2001953125
2018-09-18,8596.5,8380.2001953125,8537.7001953125,8399.150390625,507455.0,8399.150390625,Decrease,8468.42529296875,138.5498046875
2018-09-19,8448.400390625,8191.0498046875,8425.5,8210.349609375,959340.0,8210.349609375,Decrease,8317.9248046875,215.150390625
2018-09-21,8325.0,7599.64990234375,8260.0,8040.14990234375,1646047.0,8040.14990234375,Decrease,8150.074951171875,219.85009765625
